Number,Company,Company type,Value proposition,Segments, Relationships,Channels,Activities,Resources,Partnerships,Revenue model,EBIT %
147,True Car Inc.,e-business,Differentiation,B-to-C,Medium level service,Combination of online and offline,Programming,"Human, IT",Not many important partners,Sales of access,-22.99
148,Turkish Airlines,non-e-business,Differentiation,B-to-C,High level service,Combination of online and offline,"Services, Sales","Physical, Human",Many important partners,Sales of access,6.96
149,Twitter Inc.,e-business,Differentiation and low cost,B-to-B and B-to-C,Low level service,Online,"Programming, Sales","Human, IT",Not many important partners,Sales of access,-38.41
150,Unisys Corp,non-e-business,Differentiation,B-to-B,High level service,Combination of online and offline,"Programming, Sales, Services","Human, IT",Not many important partners,Sales of ownership and access,4.60
151,United Airlines,non-e-business,Differentiation,B-to-C,High level service,Combination of online and offline,"Services, Sales","Physical, Human",Many important partners,Sales of access,8.21
152,Virgin Atlantic Airways,non-e-business,Differentiation and low cost,B-to-C,Medium level service,Combination of online and offline,"Services, Sales","Physical, Human",Many important partners,Sales of access,0.33
153,Volvo,non-e-business,Differentiation,B-to-C,Medium level service,Combination of online and offline,"R&D, Production, Sales","Physical, Human, Intellectual",Some important partners,Sales of ownership,1.73
154,Wal-Mart Stores Inc.,non-e-business,Differentiation and low cost,B-to-C,High level service,Combination of online and offline,"Logistics, Sales","Physical, Human",Many important partners,Sales of ownership,5.71
155,West Jet,non-e-business,Low cost,B-to-C,Low level service,Combination of online and offline,"Services, Sales","Physical, Human",Many important partners,Sales of access,11.96
156,Western Union,non-e-business,Low cost,B-to-C,Medium level service,Combination of online and offline,"Production, Services","Physical, Human",Many important partners,Sales of access,20.34
157,Wistron Corporation,non-e-business,Low cost,B-to-B,High level service,Offline,Production,Physical,Many important partners,Sales of ownership,0.63
158,Xerox Corporation,non-e-business,Differentiation,B-to-B,High level service,Combination of online and offline,"R&D, Production, Sales","Physical, Human, Intellectual",Many important partners,Sales of ownership and access,8.01
159,Zalando SE,e-business,Low cost,B-to-C,Medium level service,Online,"Programming, Logistics, Sales","Human, IT",Not many important partners,Sales of ownership and access,3.70
160,Zynga Inc.,e-business,Low cost,B-to-C,Low level service,Online,Programming,"Human, IT",Not many important partners,Sales of access,-35.45
